Date,Open,High,Low,Close,Volume,weighted price,trades
09-Dec-17,15799.87,15998.5,12701.05,14607.49,16587.47,14402.98,
08-Dec-17,16599.99,16666.66,13482.42,15800,25473.4,15285.2,
07-Dec-17,13623,16615.62,13085.9,16599.99,25787.68,14840.19,
06-Dec-17,11676.99,13700,11659.8,13623.5,19784.87,12664.26,
05-Dec-17,11613.07,11850,11384.25,11677,11875.03,11652.18,
04-Dec-17,11250,11613.07,10850,11613.07,13621.48,11314.7,
03-Dec-17,10875.68,11800.01,10513.16,11250,14238.53,11249.5,
02-Dec-17,10840.45,11200,10637.69,10872,9267.16,10927.84,
01-Dec-17,9927.29,10949.89,9370.11,10840.45,16708.03,10287.37,
30-Nov-17,9833.7,10618.29,9000,9947.67,25433.46,9715.31,
29-Nov-17,9877.63,11395,9250,9824.68,33432.34,10377.66,
28-Nov-17,9708.06,9968,9582.25,9868.82,11214.93,9852.65,
27-Nov-17,9278.99,9721.7,9267,9708.07,13272.45,9527.86,
26-Nov-17,8718,9366.6,8538.2,9271.06,12021.22,9027.86,
25-Nov-17,8199.83,8737,8114.78,8717.99,11611.67,8407.83,
24-Nov-17,7988.96,8340,7876,8199.19,9289.99,8154.14,
23-Nov-17,8214.69,8279.76,7980,7989,7811.79,8147.26,
22-Nov-17,8095.19,8310.89,8045.76,8214.69,8078.58,8196.45,
21-Nov-17,8226.14,8354.46,7770,8095.23,13686.51,8096.38,
20-Nov-17,8016.58,8269.99,7900,8226.17,8179.46,8113.74,
19-Nov-17,7775.55,8087.35,7675,8016.58,8307.78,7863.96,
18-Nov-17,7675,7858,7431.54,7771.03,7326.81,7679.33,
17-Nov-17,7846.96,7997,7528.5,7674.99,17714.37,7797.3,
16-Nov-17,7294,7976.79,7120.85,7846.96,19272.37,7562.03,
15-Nov-17,6609,7350,6609,7294,16869.9,7064.13,
14-Nov-17,6524.69,6750,6466.88,6609,12072.05,6586.15,
13-Nov-17,5870.03,6775.75,5846,6525.17,27202.28,6395.47,
12-Nov-17,6355.13,6488.88,5555.55,5870.37,37315.16,6044.87,
11-Nov-17,6588.18,6820,6218,6355.13,14942.7,6478.1,
10-Nov-17,7150.61,7343.18,6429.44,6588.18,26614.28,6811.55,
09-Nov-17,7465.06,7490,7061.2,7148,14799.27,7229.1,
08-Nov-17,7131.38,7888,7080.01,7450.32,24679.72,7435.31,
07-Nov-17,6967.64,7244.69,6945,7130.28,11634.27,7102.55,
06-Nov-17,7373.3,7421.39,6922.07,6967.68,19323.13,7169.77,
05-Nov-17,7388.79,7590,7275.16,7372.72,9218.33,7445.08,
04-Nov-17,7145.24,7569.9,6994,7388.83,9200.11,7253.2,
03-Nov-17,7030,7500,6925.22,7146.82,15999.78,7252.44,
02-Nov-17,6745.04,7354.1,6700,7030,26514.65,6976.49,
01-Nov-17,6434.24,6756.36,6340.01,6741.59,12967.22,6546.62,
31-Oct-17,6120,6449.78,6072.81,6434.21,13423.31,6284.18,
30-Oct-17,6133.01,6229.77,6024.03,6119.99,9574.64,6124.2,
29-Oct-17,5731.7,6316.85,5683,6137.37,16086.63,5990.19,
28-Oct-17,5773.03,5875.66,5646.18,5730.69,5926.3,5736.04,
27-Oct-17,5889.99,5994.06,5674.06,5771.89,11911.04,5797.46,
26-Oct-17,5741.35,5988,5683,5890,11788.3,5860,
25-Oct-17,5518.49,5748,5366,5735.88,12349.11,5536.47,
24-Oct-17,5869.82,5870,5453.01,5523.4,17286.72,5643.65,
23-Oct-17,5967.38,6045.34,5617.75,5871.17,15331.64,5839.56,
22-Oct-17,6010.85,6071.07,5700,5969,12232.52,5877.68,
21-Oct-17,5977.26,6180,5871,6013.46,15357.42,6050.01,
20-Oct-17,5700,6074,5589.8,5977.29,15109.06,5891.45,
19-Oct-17,5572.64,5735.14,5512.06,5698.69,9919.84,5654.06,
18-Oct-17,5591.97,5617.75,5101.36,5582.05,18961.68,5361.2,
17-Oct-17,5752.2,5776.31,5506.78,5597.31,9105.28,5605.05,
16-Oct-17,5683.92,5807.11,5548,5745.72,9066.8,5681.03,
15-Oct-17,5795.01,5830,5415,5679.7,11542.95,5584.71,
14-Oct-17,5653.58,5817.34,5558.26,5801.29,8410.94,5680.62,
13-Oct-17,5444,5846.43,5380,5653.6,27827.38,5600.53,
12-Oct-17,4822.01,5445,4793.66,5445,19916.23,5149.57,
11-Oct-17,4747.9,4869.78,4700,4822.01,9866.9,4789.38,
10-Oct-17,4761.67,4909.97,4700,4749.29,11666.02,4807.87,
09-Oct-17,4597.97,4865,4541,4764.7,12923.67,4679.26,
08-Oct-17,4422.72,4612,4404.5,4597.98,10083.87,4511.21,
07-Oct-17,4356.09,4463,4312.82,4423.3,4646.41,4373.29,
06-Oct-17,4301.09,4425,4278.4,4362.95,8377.3,4363.3,
05-Oct-17,4219.74,4358.97,4137.96,4301.09,8419.96,4265.13,
04-Oct-17,4315.73,4343,4170.07,4219.53,8518.99,4233.86,
03-Oct-17,4391.41,4425,4218,4315.83,12468.06,4295.1,
02-Oct-17,4369.33,4453,4352,4391.48,8259.82,4394.01,
01-Oct-17,4326.09,4377.22,4216,4377.22,7211.34,4281,
30-Sep-17,4162.04,4349,4154.28,4326.09,7496.78,4278.3,
29-Sep-17,4183.47,4227.62,4022.02,4164.82,12191.93,4128.66,
28-Sep-17,4202.34,4270.01,4123.5,4184.84,9625.93,4187.55,
27-Sep-17,3883.95,4226.73,3870,4199.29,15075.84,4063.17,
26-Sep-17,3920.66,3970,3850.61,3888.03,10014.62,3916.37,
25-Sep-17,3667.01,3968.59,3658.39,3918,14979.78,3847.35,
24-Sep-17,3781.13,3783.25,3615,3664.22,6508.72,3688.85,
23-Sep-17,3611.91,3810.25,3552,3779.17,10123.23,3715.13,
22-Sep-17,3607.83,3761.84,3514,3612.18,15007.74,3616.21,
21-Sep-17,3864,3914,3573,3617.05,17904.3,3742.81,
20-Sep-17,3888.8,4050,3820.56,3874.46,11660.27,3931.92,
19-Sep-17,4102,4119.7,3848.35,3888.8,15278.93,3953.45,
18-Sep-17,3662.95,4122.7,3659.42,4101.6,17207.6,3951.07,
17-Sep-17,3669.07,3772.52,3463,3662.99,11770.22,3624.21,
16-Sep-17,3699.89,3872.9,3500,3678.93,23158.23,3666.34,
15-Sep-17,3227.79,3820,2972.01,3700.01,60278.95,3370.47,
14-Sep-17,3861.89,3921.74,3210,3227.79,41319.4,3535.91,
13-Sep-17,4170.6,4179.14,3720.01,3865.34,29636.38,3897.81,
12-Sep-17,4198.89,4377.65,4080,4172.56,13294.44,4232.45,
11-Sep-17,4226.21,4353.49,4092.4,4207.31,11191.6,4212.89,
10-Sep-17,4322.44,4322.44,4010,4226.22,14724.2,4145.59,
09-Sep-17,4327.41,4379.78,4164,4308.72,9974.39,4279.9,
08-Sep-17,4615,4679.97,4125.99,4312,23693.3,4371.25,
07-Sep-17,4605.81,4674.34,4475,4615,9254.85,4585.2,
06-Sep-17,4397.38,4649.23,4356.42,4605.8,16634.1,4527.25,
05-Sep-17,4282.53,4474.88,4001.93,4396.52,20884.22,4234.99,
04-Sep-17,4603.68,4613.97,4058.5,4277,25069.13,4299.82,
03-Sep-17,4599.9,4700,4385,4606.26,11224.91,4553.45,
02-Sep-17,4921.71,4979.9,4488.5,4599.9,16977.79,4682.16,
01-Sep-17,4734.26,4935,4671.09,4921.7,15367.53,4808.17,
31-Aug-17,4573.15,4765.21,4566.66,4734.26,8911.41,4682.33,
30-Aug-17,4578.82,4642.22,4479,4573.2,8720.04,4564.26,
29-Aug-17,4385,4649.78,4336.26,4578.82,11879.64,4502.76,
28-Aug-17,4329.91,4399.72,4169.01,4379.99,8641,4290.85,
27-Aug-17,4333.38,4393.3,4290.32,4337.68,3979.12,4338.63,
26-Aug-17,4348.17,4369.78,4232.43,4333.38,6559.67,4303.25,
25-Aug-17,4308.8,4449.98,4270,4355.98,9699.61,4358.33,
24-Aug-17,4121.78,4350,4082.57,4300.34,10782.69,4189.5,
23-Aug-17,4078,4248.97,4051.94,4108.12,14979.4,4146.85,
22-Aug-17,3987.51,4139.31,3600,4085,23522.76,3894.12,
21-Aug-17,4058.64,4080,3949.78,3987.52,9782.06,4007.74,
20-Aug-17,4091.99,4125.95,4000,4058.68,6237.97,4054.14,
19-Aug-17,4100,4188,3900,4099.55,15036.18,4030.6,
18-Aug-17,4260.47,4368,3964.96,4100,17516.99,4180.17,
17-Aug-17,4361.99,4480,4167.21,4276.5,14573.19,4338.69,
16-Aug-17,4154.99,4379.78,3926.06,4378.84,12923.64,4193.43,
15-Aug-17,4320.95,4400,3800,4155.67,25515.72,4101.45,
14-Aug-17,4053.87,4329.43,3964.96,4306.23,14212.3,4210.15,
13-Aug-17,3855.04,4190,3841.71,4053.87,15889.83,4007.1,
12-Aug-17,3651.74,3934,3586.95,3855.1,12351.07,3789.13,
11-Aug-17,3410,3705,3390.67,3645.06,11927.37,3511.92,
10-Aug-17,3342.99,3448,3311.17,3413.03,9031.12,3394.75,
09-Aug-17,3408.46,3423.1,3178.72,3342.99,14286.84,3314.69,
08-Aug-17,3387.54,3490,3300,3412.41,15835.37,3413.55,
07-Aug-17,3216.78,3430,3186,3387.55,12046.12,3339.32,
06-Aug-17,3263.51,3296.51,3146.1,3222.75,5998.74,3236.12,
05-Aug-17,2851.01,3339.66,2848.32,3263.62,16996.27,3169.04,
04-Aug-17,2793.34,2877.52,2765.91,2855,7635.82,2835.33,
03-Aug-17,2703.51,2807.44,2698.83,2793.37,7963.7,2754.79,
02-Aug-17,2732,2760,2650,2703.51,9486.63,2709.19,
01-Aug-17,2855.81,2929.17,2615,2731,12525.08,2740.33,
31-Jul-17,2745.76,2889.99,2680.01,2855.81,11114.34,2769.15,
30-Jul-17,2681.6,2774.45,2569.69,2742.37,9678.16,2670.85,
